,phrase,prompt
76,15 살 때 여드름이 있었어요,좌창
314,3km를 오래 걸 었는데 발이 아파서 발이 아파요,발 통증
330,5 분도 채 안되어서 허리가 아파요,허리 통증
375,5 파운드를 들려고하면 어깨가 아파요.,어깨 통증
30,70 세가 된 이후로 허리가 아파요.,허리 통증
545,먹은 후 내 안에 타는듯한 느낌이 듭니다.,복통
484,축구를 한 후 양 다리에 근육통이 생겼습니다.,근육통
547,테니스를 치고 나서 목에 가까웠 던 느낌이 강했다,어깨 통증
486,온몸이 안좋은 상태이고 좋은 치료가 필요해,관절 통증
578,갑자기 일어 섰을 때 어지러움을 느꼈다.,어지러운
566,처음에는 정말 무감각 한 느낌이 들었지만 천 개의 바늘이 내 발을 찌르기 시작합니다.,발 통증
384,카르 파티 아 에서 암벽 등반을하면서 발목이 부러졌습니다.,스포츠로 인한 부상
495,목과 상복부 사이의 신체 앞부분을 따라 어떤 지점에서 느껴지는 불편 함이나 통증.,내부 통증
588,집안 온도가 높아도 내 몸은 항상 차갑다,추워요
426,왼쪽을 볼 때마다 목에 날카로운 통증을 느낍니다.,목 통증
558,비가 올 때마다 배와 옆구리에 두드러기가 생깁니다.,피부 문제
436,그의 감염된 상처는 썩기 시작했습니다.,감염된 상처
455,생리가 없어도 항상 생리통이있는 것 같습니다.,내부 통증
460,겹겹이 입어도 늘 춥다,추워요
605,나는 너무 어지럽고 몸이 너무 연약합니다.,몸이 약한 느낌
476,"나는 내가 얼마나 추위를 견디지 ​​못하는지 걱정되며, 태양 아래에서도 항상 떨고 있습니다.",추워요
519,나는 거의 숨을 쉴 수 없다,호흡 곤란
571,목을 거의 움직일 수 없습니다. 아파요.,목 통증
508,귀에서 제대로들을 수없고 자극을주는 무언가가있는 것 같습니다.,귀 통증
634,일어서거나 앉을 수 없어 허리가 아파서 짜증나,허리 통증
554,"나는 일 어설 수없고, 내 뇌가 내 두개골 안에서 움직이고 있다고 느낍니다.",두통
541,잘 걷지 못해 발이 아파,발 통증
557,일을 잘 못해 무릎이 아파,무릎 통증
584,나는 내 가슴에있는이 짜릿한 감각을 견딜 수 없다.,심장이 아파
614,왼쪽 어깨 아래의 둔한 통증 때문에 숨을 쉴 수 없습니다.,심장이 아파
546,아무리 감아도 따뜻해지지 않아요,추워요
533,나는 숨을 쉴 수 없다,기침
690,어제 무거운 가방을 챙겨 갔는데 오늘 일어 났을 때 큰 어깨 통증을 느꼈습니다.,어깨 통증
528,목 통증으로 많이 불평하고 정말 나아 져야합니다,목 통증
536,나는 피부 알레르기로 많이 불평합니다,피부 문제
450,나는 떨림을 멈추거나 턱을 풀 수 없었습니다.,추워요
589,자상하고 피가 나고 있습니다.,열린 상처
610,왜 추워 지는지 모르겠어,추워요
626,팔로 모든 동작을하지 않습니다.,어깨 통증
514,숨을들이 마시는 데 문제가 없지만 내쉬기가 너무 무겁습니다,호흡 곤란
451,예전에하던 일을 할 에너지가 없습니다,몸이 약한 느낌
