True	Pred	Utterance
airfare	flight	[CLS] i need a ticket from los angeles to charlotte that leaves early in the morning [SEP]
flight	airline	[CLS] american airlines from phoenix to denver [SEP]
flight	airfare	[CLS] show me the cheapest flights from san francisco to boston [SEP]
flight	airfare	[CLS] find travel arrangements for a round trip flight from baltimore to pittsburgh [SEP]
flight	flight_time	[CLS] i would like information on flights leaving atlanta in the afternoon arriving in dallas [SEP]
flight	airfare	[CLS] what is the cheapest round trip coach flight between dallas and baltimore leaving august tenth [SEP]
flight	airfare	[CLS] what is the most expensive flight from boston to dallas [SEP]
flight	airport	[CLS] where does continental fly to from chicago [SEP]
flight	airfare	[CLS] what is the cheapest flight from long beach to memphis [SEP]
flight	flight_time	[CLS] i would like some information on flights leaving boston to atlanta [SEP]
flight	airline	[CLS] i wish to fly from boston to washington please find an airline for me [SEP]
flight	airline	[CLS] does us air fly from washington dc to denver [SEP]
airfare	ground_fare	[CLS] how much does it cost to fly directly from philadelphia to san francisco on american airlines [SEP]
flight_time	ground_service	[CLS] what is the schedule of ground transportation from washington airport into downtown [SEP]
flight	airfare	[CLS] what is the cheapest way to fly from denver to oakland [SEP]
flight	airline	[CLS] which flight from pittsburgh to baltimore carries the smallest number of passengers [SEP]
flight	airline	[CLS] does american airlines fly from philadelphia to dallas [SEP]
flight	flight_time	[CLS] now i need flight information leaving atlanta and arriving in baltimore in the afternoon [SEP]
flight	airline	[CLS] which united airlines flight flies across this continent and leaves from boston goes to dallas and makes a stopover in philadelphia [SEP]
flight	airfare	[CLS] what are the flights and fares from boston to philadelphia [SEP]
ground_fare	ground_service	[CLS] how much is the ground transportation between atlanta and downtown [SEP]
flight	airline	[CLS] for each airline flying between boston and san francisco what is the earliest flight [SEP]
flight	flight_time	[CLS] flight information on january twenty third from denver to san francisco [SEP]
flight	flight_time	[CLS] i would like to make a reservation for a flight to denver from philadelphia on this coming sunday [SEP]
flight	airline	[CLS] does continental airlines fly from pittsburgh to atlanta [SEP]
flight	airline	[CLS] information on american airlines flight from washington to philadelphia [SEP]
airline	flight_no	[CLS] airline and flight number from columbus to minneapolis [SEP]
flight	airfare	[CLS] what round trip flights between atlanta and denver qualify for fare code qx [SEP]
flight	distance	[CLS] how can i go from the san francisco airport to downtown san francisco [SEP]
flight	airfare	[CLS] what ' re the cheapest flights from new york to miami [SEP]
flight	aircraft	[CLS] eastern flight 825 from atlanta to denver leaving at 555 what type of aircraft is used on that flight [SEP]
flight	airfare	[CLS] flights and fares from denver to oakland [SEP]
flight	airfare	[CLS] again i will repeat i want to make a one way flight from boston to atlanta will you tell me how much the fares are i would like the cheapest fare [SEP]
flight_time	flight	[CLS] when does continental fly from philadelphia to denver on sundays [SEP]
flight	airfare	[CLS] what ' s the cheapest flight from baltimore to dallas on american [SEP]
airfare	ground_fare	[CLS] and how much does it cost to travel from boston airport to downtown [SEP]
flight	flight_time	[CLS] i need information flight information for tuesday on a flight leaving baltimore bound for dallas [SEP]
ground_service	ground_fare	[CLS] show me a list of rental car fares at boston airport [SEP]
flight	flight_time	[CLS] flight information on january twenty third 1992 from denver to san francisco [SEP]
flight	airfare	[CLS] show me the lowest price from dallas to baltimore [SEP]
flight	airfare	[CLS] find travel arrangements for a round trip flight from baltimore to pittsburgh [SEP]
flight	airfare	[CLS] can you show me the cheapest round trip flights between denver and pittsburgh [SEP]
flight	airline	[CLS] does american airlines offer a flight from boston to oakland which stops in denver [SEP]
flight	airfare	[CLS] find travel arrangements for a round trip flight from dallas to pittsburgh [SEP]
flight	aircraft	[CLS] what classes of service does twa have [SEP]
flight	ground_service	[CLS] i have two friends that would like to visit me on wednesday here in washington dc one of them lives in denver and the other lives in miami [SEP]
flight	airfare	[CLS] show me the cheapest one way flights from dallas to san francisco leaving dallas after 4 pm [SEP]
flight	airfare	[CLS] all flights and fares from pittsburgh to dallas round trip after 12 pm less than 1100 dollars [SEP]
flight	quantity	[CLS] list all the arriving flights at general mitchell international [SEP]
airline	city	[CLS] is us air [SEP]
aircraft	flight	[CLS] what ' s the smallest plane flying from pittsburgh to baltimore on december seventeenth [SEP]
flight	aircraft	[CLS] on united airlines flying from denver to san francisco before 10 am what type of aircraft is used [SEP]
flight	airfare	[CLS] show me the cheapest flights from dallas to baltimore [SEP]
flight	airfare	[CLS] what is the most expensive flight from dallas to baltimore [SEP]
flight	airfare	[CLS] what are the cheapest one way flights from denver to atlanta [SEP]
flight	ground_service	[CLS] how can i get from the denver airport to downtown [SEP]
flight	airfare	[CLS] show me the flights from indianapolis to orlando with round trip fares less than 1288 [SEP]
flight	flight_time	[CLS] i would like information on flights from philadelphia to oakland california on friday afternoon [SEP]
flight	airfare	[CLS] what is the cheapest flight from long beach to memphis [SEP]
flight	airfare	[CLS] show me the cheapest flights from atlanta to denver [SEP]
flight	flight_time	[CLS] i would like information on flights from denver to san francisco after noon on wednesday [SEP]
abbreviation	city	[CLS] what is mco [SEP]
flight	airline	[CLS] american airlines leaving phoenix [SEP]
flight	airfare	[CLS] what is the cheapest one way flight from atlanta to boston [SEP]
city	flight_time	[CLS] what time zone is denver in [SEP]
flight	airfare	[CLS] what is the coach economy class night service from boston to san francisco [SEP]
capacity	aircraft	[CLS] list number of people that can be carried on each type of plane that flies between pittsburgh and baltimore [SEP]
flight	flight_time	[CLS] please give me flight schedules from pittsburgh to philadelphia [SEP]
flight	quantity	[CLS] list all the flights that arrive at general mitchell international airport [SEP]
flight	airline	[CLS] does united airlines have flights between boston and denver [SEP]
flight	quantity	[CLS] list all the flights that takeoff from general mitchell international [SEP]
airfare	flight	[CLS] what united airlines first class airfare flights are available from denver to baltimore on july three [SEP]
flight	airline	[CLS] please list me the flights and their cost of all airlines flying from denver to baltimore [SEP]
flight	airline	[CLS] information on american airlines from fort worth texas to philadelphia [SEP]
flight	airfare	[CLS] show me the cheapest flights round trip from new york to san jose [SEP]
airfare	flight_time	[CLS] i would like your rates between atlanta and boston on september third [SEP]
flight	aircraft	[CLS] on eastern flight 825 from atlanta to denver can you tell me what type of aircraft used before 12 noon [SEP]
flight	flight_time	[CLS] what is your last trip on august twenty seventh from washington to boston [SEP]
flight	aircraft	[CLS] i am interested in a flight from cincinnati to burbank the flight should be american and leave in the afternoon i need to know the aircraft and flight number [SEP]
airfare	ground_fare	[CLS] what does it cost to fly from boston to oakland on united airlines [SEP]
airfare	flight	[CLS] on april first i need a ticket from tacoma to san jose departing before 7 am [SEP]
day_name	flight_time	[CLS] what day of the week do flights from nashville to tacoma fly on [SEP]
day_name	flight_time	[CLS] what days of the week do flights from san jose to nashville fly on [SEP]
flight	airline	[CLS] which flights on northwest airline leave detroit and arrive at st . petersburg [SEP]
flight	airport	[CLS] does the airport at burbank have a flight that comes in from kansas city [SEP]
flight	aircraft	[CLS] show me the connecting flights between boston and denver and the types of aircraft used [SEP]
ground_fare	airfare	[CLS] what ' s the fare for a taxi to denver [SEP]
flight	city	[CLS] show me delta flight 486 [SEP]
flight	airfare	[CLS] list all flights and their fares for all flights between miami and indianapolis [SEP]
flight	flight_no	[CLS] list the airfare for american airlines flight 19 from jfk to lax [SEP]
flight	airfare	[CLS] show me the cheapest round trip between st . petersburg and detroit that arrives before 7 pm [SEP]
flight	airfare	[CLS] show me the cheapest first class round trip from new york to miami [SEP]
flight	airfare	[CLS] now show me all the round trips from new york to miami [SEP]
flight	airfare	[CLS] show me the cheapest one way flight from san francisco to houston [SEP]
flight	airfare	[CLS] now show me the cheapest one way flight from houston to boston [SEP]
meal	flight	[CLS] what meals are there on flight 382 from milwaukee to washington dc on tuesday morning [SEP]
flight	airfare	[CLS] what ' s the cheapest flight from columbus to st . louis round trip on twa [SEP]
flight	airfare	[CLS] what ' s the cheapest round trip flight on twa from columbus to st . paul [SEP]
flight	airfare	[CLS] what ' s the cheapest flight from san francisco to detroit today [SEP]
flight	airfare	[CLS] what ' s the cheapest flight from san francisco to milwaukee [SEP]
flight	airfare	[CLS] what ' s the cheapest flight tomorrow from milwaukee to denver [SEP]
flight	airfare	[CLS] what ' s the cheapest flight from san francisco to denver [SEP]
flight	flight_time	[CLS] i would like flight information from phoenix to denver [SEP]
flight	flight_time	[CLS] could i have flight information on flights from salt lake city to phoenix please [SEP]
flight	flight_time	[CLS] i would like information on flights leaving from washington dc to denver [SEP]
flight	flight_no	[CLS] i need flight information for a flight departing from indianapolis to cleveland departing tuesday at noon [SEP]
flight	flight_no	[CLS] i need flight information for a flight departing from cleveland to milwaukee wednesday after 6 pm [SEP]
flight	flight_no	[CLS] i need flight and airline information for a flight from denver to salt lake city on monday departing after 5 pm [SEP]
flight	flight_time	[CLS] i need flight and fare information for thursday departing prior to 9 am from oakland going to salt lake city [SEP]
flight	flight_no	[CLS] i need flight and fare information departing from oakland to salt lake city on thursday before 8 am [SEP]
airline	flight_no	[CLS] i need flight numbers and airlines for flights departing from oakland to salt lake city on thursday departing before 8 am [SEP]
flight	airfare	[CLS] show me the cheapest one way flights from montreal to orlando [SEP]
flight	airfare	[CLS] show me the cheapest one way flights from orlando to montreal [SEP]
flight	airfare	[CLS] show me the cheapest economy flights from miami to new york [SEP]
city	abbreviation	[CLS] list la [SEP]
city	abbreviation	[CLS] list la [SEP]
flight	airfare	[CLS] list flights and fares from tacoma to orlando round trip leaving saturday returning next saturday [SEP]
flight	quantity	[CLS] how many northwest flights leave st . paul [SEP]
flight	quantity	[CLS] how many northwest flights leave washington dc [SEP]
flight	quantity	[CLS] how many flights does northwest have leaving dulles [SEP]
flight	airline	[CLS] show delta airlines from boston to salt lake [SEP]
capacity	aircraft	[CLS] what is the seating capacity of the type of aircraft m80 [SEP]
abbreviation	city	[CLS] what is 73s [SEP]
aircraft	capacity	[CLS] tell me about the m80 aircraft [SEP]
aircraft	capacity	[CLS] tell me about the m80 aircraft [SEP]
flight	quantity	[CLS] list all flights on all types of aircraft arriving in denver between 8 and 9 pm [SEP]
flight	quantity	[CLS] how many flights does alaska airlines have to burbank [SEP]
flight	city	[CLS] list all alaska airlines flights [SEP]
